#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
1,Agilent Technologies,A,$149.30,"$44,043.50",Medical Diagnostics,
2,Alcoa,AA,$42.72,"$7,558.75",Metals Mining,
3,Ares Acquisition Corp.,AAC,$10.07,"$1,258.75",General purpose SPAC,
4,American Airlines,AAL,$12.81,"$8,325.23",Airline Service,Please note: this file may contain errors.
5,AAON,AAON,$76.34,"$4,061.25",HVAC,Always do your own due diligence before making any investment decisions!
6,Advance Auto Parts,AAP,$140.16,"$8,305.00",Auto Parts & Tools,
7,Apple,AAPL,$134.51,"$2,139,799.79",iPhones & Macs,
8,American Assets Trust,AAT,$26.78,"$1,620.94",Real estate,
9,Atlas Air,AAWW,$100.05,"$2,837.84",Cargo Airline,
10,ABB,ABB,$30.23,"$55,708.40",Technology,
11,AbbVie,ABBV,$160.48,"$283,805.66",Biopharmaceuticals,
12,AmerisourceBergen,ABC,$166.79,"$33,765.20",Healthcare,
13,Ameris Bancorp,ABCB,$46.08,"$3,195.73",Financial Services,
14,AbCellera Biologics,ABCL,$10.21,"$2,921.08",Biotech,
15,Abcam,ABCM,$15.53,"$3,450.35",Diagnostics,
16,Ambev,ABEV,$2.76,"$233,890.77",Beverages,
17,Asbury Automotive Group,ABG,$167.10,"$3,698.43",Car Dealership,
18,ABM Industries,ABM,$43.89,"$2,903.39",Facility Management,
19,Abiomed,ABMD,$381.00,"$17,179.74",Medical Devices,
20,Airbnb Inc,ABNB,$89.57,"$56,713.67",P2P Accommodation,
21,Arbor Realty Trust,ABR,$13.50,"$2,315.57",Real Estate,
22,Abbott Labs,ABT,$106.91,"$186,405.40",Medical Devices,
23,Arcosa,ACA,$54.53,"$2,636.77",Construction Engineering,
24,Acadia Pharmaceuticals,ACAD,$15.39,"$2,492.12",Biotechnology,
25,Accolade,ACCD,$8.46,$608.60,Healthcare,
26,ACE Convergence Acquisition Corp,ACEV,#N/A,#N/A,Target: Tempo Automation,
27,Arch Capital Group,ACGL,$61.03,"$22,573.35",Insurance,
28,Acadia Healthcare,ACHC,$84.70,"$7,705.73",Healthcare,
29,Archer Aviation,ACHR,$2.12,$515.78,eVTOL,
30,Albertsons,ACI,$20.66,"$11,054.47",Retail,
31,ACI Worldwide,ACIW,$20.46,"$2,299.17",Payment Services,
32,Accelleron Industries,ACLLY,$19.70,-,-,
33,Axcelis Technologies Inc,ACLS,$81.43,"$2,674.86",Design,
34,AECOM,ACM,$82.77,"$11,476.08",Engineering,
35,Accenture Plc,ACN,$264.48,"$174,130.60",Consulting,
36,Enact Holdings,ACT,$23.75,"$3,867.51",Financial Services,
37,Adobe,ADBE,$338.54,"$157,387.25",Photoshop,
38,26 Capital Acquisition Corp,ADER,$10.07,$346.16,Target: Okada Manila,
39,Analog Devices,ADI,$166.82,"$84,960.75",Semiconductors,
40,Archer-Daniels-Midland,ADM,$92.31,"$50,709.04",Food Production,
41,Adient,ADNT,$34.68,"$3,289.68",Communications,
42,Automatic Data Processing,ADP,$247.05,"$102,483.18",Business Services,
43,Adaptive Biotechnologies,ADPT,$8.01,"$1,145.53",Biotechnology,
44,Autodesk,ADSK,$192.40,"$41,513.67",Software Services,
45,ADTRAN,ADTN,$18.94,"$1,470.80",Telecommunications,
46,Addus HomeCare,ADUS,$102.54,"$1,651.96",Healthcare,
47,Ameren Corporation,AEE,$87.73,"$22,680.14",Electric Services,
48,Advanced Energy Industries,AEIS,$88.84,"$3,321.12",Semiconductors,
49,American Equity Investment Life,AEL,$39.13,"$3,353.53",Insurance,
